dmr,k502_2_in_w_4d,k502_4_in_w_4d,k608_6_in_w_4d,k520_in_w_23d,k528_in_w_23d,k529_in_w_23d,K589_in_w_3m,K592_in_w_3m,K600_in_w_3m,k427_in_w_1y,k430_in_w_1y,s288_in_w_1y,k608_1_in_m_4d,k502_3_in_m_4d,k502_5_in_m_4d,k518_in_m_23d,k519_in_m_23d,k526_in_m_23d,K588_in_m_3m,K590_in_m_3m,K591_in_m_3m,k428_in_m_1y,k429_in_m_1y,k431_in_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
in_all_dmr_126,0.0282346283092784,0.0299827543591419,0.0244755741421279,0.0195625561267396,0.0333259867175318,0.0246999805059522,0.0356541418059486,0.0315927206530875,0.0288009974970658,0.0285830309348295,0.0283386743089677,0.0243708477512201,0.0454237201281914,0.0574495827718419,0.0546903063717478,0.0647304921651728,0.0575347606014223,0.0686118181419176,0.163601927321348,0.187125677786988,0.161650565071472,0.47875238326319,0.464880752452518,0.477383184508856,0.0275643189368494,0.0258628411167412,0.0320159533187006,0.0270975176650058,0.0525212030905937,0.0636256903028376,0.170792723393269,0.473672106741521
in_all_dmr_127,0.140758852224582,0.177145379298709,0.152558726652887,0.192339025995637,0.210615124126491,0.205652198541121,0.229734622879787,0.22340976403339,0.223292520985954,0.306085012865357,0.296935047318679,0.314934575577516,0.368030616853147,0.373759773983257,0.365983061764728,0.408960757042975,0.409797131004593,0.434428608506089,0.540973175001885,0.546038557536409,0.532677857521539,0.717015782749998,0.723224078695811,0.717761389938083,0.156820986058726,0.20286878288775,0.22547896929971,0.305984878587184,0.369257817533711,0.417728832184552,0.539896530019944,0.719333750461297
in_all_dmr_128,0.0766469307299508,0.091453241982068,0.0682883577178064,0.077073896239083,0.0837310582379035,0.0854343310394539,0.116298479781496,0.106900849849622,0.11518781985557,0.1232919435375,0.121507769550016,0.117835101587994,0.288654627949676,0.2800420929008,0.305973721871615,0.296628214785936,0.286292387378235,0.311296288645743,0.40929198974955,0.402104321385387,0.397709233828994,0.495296896491075,0.508732723760863,0.507902334483506,0.0787961768099417,0.0820797618388135,0.112795716495563,0.120878271558503,0.291556814240697,0.298072296936638,0.403035181654644,0.503977318245148
in_all_dmr_129,0.450039587296962,0.449912250982603,0.355490974836736,0.391322563216521,0.413254332597762,0.430770566472265,0.387958624298862,0.391379264411142,0.40619871854342,0.312089755112434,0.273985246483584,0.319269813815363,0.688925059819865,0.728159590898439,0.74231713485473,0.752314282441666,0.734702000593892,0.741376434731055,0.709571382141605,0.728655794661975,0.715145984686389,0.701711436131632,0.713138274036028,0.740923932928212,0.418480937705434,0.411782487428849,0.395178869084475,0.301781605137127,0.719800595191011,0.742797572588871,0.71779105382999,0.718591214365291
in_all_dmr_13,0.132376761673465,0.145979099958,0.153447850703971,0.154072695653072,0.15389766254663,0.174310496599151,0.266617630927027,0.243603423055809,0.233416971457366,0.359216408654218,0.350750966395029,0.258466588141351,0.694191950066213,0.700087744604616,0.70839889111125,0.715002775057601,0.734440653829763,0.746365558257471,0.745815478269041,0.779742053844043,0.750839074535759,0.79128547325613,0.806598984307173,0.820643730413531,0.143934570778479,0.160760284932951,0.247879341813401,0.322811321063533,0.70089286192736,0.731936329048278,0.758798868882948,0.806176062658945
in_all_dmr_130,0.402789131467069,0.363250469930662,0.368460026526359,0.336199313377154,0.368387571651151,0.392009012022958,0.356921270815988,0.364438823101828,0.385424866783116,0.363680395896801,0.34373770298523,0.369176177463355,0.543385424098151,0.552154653078721,0.541824640751368,0.583695494119095,0.561112141468323,0.559979031826447,0.593609786898846,0.59720187286608,0.650241534388401,0.655801920263261,0.671569287009915,0.685464395927968,0.378166542641363,0.365531965683754,0.368928320233644,0.358864758781795,0.545788239309413,0.568262222471288,0.613684398051109,0.670945201067048
in_all_dmr_131,0.0571038889365314,0.0647623093455555,0.0469195312391932,0.0636291110841827,0.059847223394121,0.0632484295410465,0.0740771965174266,0.0839695770055675,0.0927338452198677,0.11620154911961,0.116108126842868,0.22075067232527,0.179609934821723,0.128205881130053,0.154746907427598,0.232667083182728,0.290987587789331,0.310460844676595,0.491280535421225,0.51740038889984,0.494164633841069,0.607539707831517,0.612151589416765,0.619716887063254,0.0562619098404267,0.0622415880064501,0.0835935395809539,0.151020116095916,0.154187574459791,0.278038505216218,0.500948519387378,0.613136061437179
in_all_dmr_132,0.0707580462888383,0.0656708955273728,0.0562690122476919,0.0675368977043942,0.0655364356279313,0.0597655480694476,0.0892687601904732,0.0774682851242771,0.0805022686475764,0.0873903033218051,0.0855867510612983,0.0812074554513571,0.285662748650282,0.323553698139388,0.319694881988175,0.306030973416852,0.281214427024515,0.307702698087767,0.391079288640501,0.403233788201971,0.400195139061845,0.447833426215342,0.449499167218475,0.472502174246459,0.0642326513546343,0.0642796271339244,0.0824131046541089,0.0847281699448202,0.309637109592615,0.298316032843045,0.398169405301439,0.456611589226759
in_all_dmr_133,0.705825051328806,0.7035658828105,0.538609425435666,0.612881072317139,0.623848046724437,0.650763535096422,0.605620377390825,0.605149373289428,0.627556515770573,0.55352587306172,0.507118229340451,0.60732182835849,0.65608805078975,0.715294265443462,0.728593271425932,0.695992466675609,0.686057017225642,0.695628591969826,0.72163884890345,0.743185085501372,0.719449850197661,0.788866802123933,0.764082733424193,0.780004755419026,0.649333453191657,0.629164218045999,0.612775422150275,0.555988643586887,0.699991862553048,0.692559358623692,0.728091261534161,0.777651430322384
in_all_dmr_134,0.347046775625311,0.313576037893084,0.257989290773676,0.360491641311896,0.36198227585302,0.367798352771236,0.401865555256461,0.399362766425477,0.378036404647146,0.37652693145599,0.380322678040803,0.446208041655617,0.687484373633258,0.776929453636713,0.774708588058119,0.783080005709789,0.79039444140584,0.792026009942391,0.794970009033456,0.825453215602216,0.800592125611011,0.810470550411107,0.816461962586097,0.833241804987932,0.306204034764024,0.363424089978717,0.393088242109695,0.401019217050803,0.746374138442697,0.788500152352673,0.807005116748894,0.820058105995045
in_all_dmr_135,0.282063143028912,0.264011831301384,0.276628578064588,0.29613169249588,0.277116481004006,0.292034913192473,0.372153598239365,0.375796790473216,0.355856644096804,0.432059696704815,0.398352525562688,0.400429315367492,0.541776426875572,0.569110286969793,0.563443881750459,0.569383092945489,0.524330202889189,0.566635045357542,0.644286813079483,0.650735049842127,0.656673553271033,0.668781348297176,0.66899572705194,0.693401719502843,0.274234517464961,0.28842769556412,0.367935677603128,0.410280512544998,0.558110198531941,0.553449447064073,0.650565138730881,0.677059598283986
in_all_dmr_136,0.0244151543457133,0.0233617835920404,0.0231716281079201,0.0241125815119401,0.0263360258515872,0.0241577751848125,0.0347422849426215,0.034344064734868,0.0357274212949885,0.116732094986416,0.116864384520047,0.113114787577022,0.206652054285445,0.235200112571954,0.220508513754239,0.352780057403603,0.336006843683334,0.337877383046064,0.451267868973744,0.465855626123754,0.470939165012189,0.717640729135639,0.744944777660931,0.726795319958952,0.0236495220152246,0.0248687941827799,0.0349379236574927,0.115570422361162,0.220786893537213,0.342221428044334,0.462687553369896,0.729793608918507
in_all_dmr_137,0.105347172725413,0.096079805770444,0.16912133270802,0.118310046755865,0.126463694061181,0.128245183599547,0.18886467523923,0.201975956664152,0.187423434866455,0.250173171018498,0.252198040407276,0.224662997539069,0.484456482660396,0.493896327590876,0.503099424463447,0.52614295887889,0.493390798180077,0.538494636927629,0.673057591900918,0.678523406838989,0.679376773430845,0.786038697739274,0.796831963381308,0.796571663079776,0.123516103734626,0.124339641472198,0.192754688923279,0.242344736321614,0.493817411571573,0.519342797995532,0.676985924056917,0.793147441400119
