"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P11","P7","P4","P8","P10","P9","Control","Mutant"
"DMR_up_ 1030",0.219937006075289,0.253420655983428,0.234331200946303,0.222479074268372,0.259279416755561,0.225765348473862,0.273033366641228,0.256206262770718,0.220148225086114,0.544138372977446,0.60863750944838,0.44940230865602,0.544297646663873,0.416734268132523,0.500784112028952,0.47269135908557,0.240511173000097,0.505240796713252
"DMR_up_ 1031",0.172442760063941,0.153163268954662,0.175176404137179,0.171805795677225,0.164238364677081,0.168933745732107,0.235134680169408,0.193098506243523,0.163537678357863,0.466989793915852,0.600004372862422,0.38644608513023,0.441411512351003,0.347629843611199,0.428499136759672,0.390731545409614,0.177503467112554,0.437387470005713
"DMR_up_ 1032",0.256782922066086,0.197057609418712,0.273368954350621,0.327453339870005,0.25184097747997,0.241886230903279,0.304244785949009,0.361560449260447,0.223857478351904,0.694279686747578,0.863803743379288,0.458692475534162,0.648399421038816,0.384851066454969,0.549486183118175,0.530623222745283,0.270894749738892,0.590019399859753
"DMR_up_ 1033",0.164384800571276,0.160878677430755,0.153554652768837,0.150695821193773,0.142311971882384,0.203510813708476,0.158607708369646,0.132663256117739,0.175731646923467,0.499522184945342,0.641675990697186,0.384682674615971,0.431847625164041,0.310568846519002,0.414271135664771,0.388536193352918,0.160259927662928,0.438729235851319
"DMR_up_ 1034",0.0809979740429205,0.0917052553839182,0.0921140123999482,0.0822876174963329,0.0893417070541869,0.0938416798695014,0.111599521903212,0.0872609617744581,0.0833297099543709,0.465918500898093,0.549344554695515,0.286422299677922,0.386156157287871,0.245118849625406,0.362322062596118,0.318544629208687,0.090275382208761,0.373403864855659
"DMR_up_ 1035",0.174324112140521,0.197808788016559,0.182458623333824,0.201674363813975,0.202765454546751,0.201958169618649,0.197525404552042,0.215994377056411,0.197318464578905,0.51135414052229,0.632976531545968,0.423530318093716,0.479841898219421,0.376102720766681,0.455998414260859,0.451000803693151,0.196869750850849,0.475829261014584
"DMR_up_ 1036",0.264661476681852,0.316872058031534,0.21855606497685,0.233884086851891,0.193575843397149,0.178987373456265,0.224550581578099,0.26338203146812,0.191287038010003,0.615111122789296,0.645419417600142,0.439435347670702,0.498115391407587,0.41583994150259,0.519477231986496,0.462918951253373,0.231750728272418,0.513759629172884
"DMR_up_ 1037",0.16732079169395,0.185271547217891,0.200013375203354,0.198576033501675,0.187708930537159,0.172866882581884,0.20161093531271,0.208285693080337,0.185396624063366,0.60686307341704,0.652579790638582,0.472977015855247,0.547331394702929,0.432101224893761,0.503035772708601,0.488903288022084,0.189672312576925,0.529113080034035
"DMR_up_ 1038",0.103371522860165,0.117657279740475,0.115212946733704,0.111405648009713,0.10464797954031,0.0842064422369692,0.137181691903038,0.123833274772814,0.127085698747826,0.610174063447031,0.62436375882066,0.447356553248746,0.453910043247489,0.375527349134365,0.396403538357483,0.419133080387366,0.113844720505001,0.475266912377591
"DMR_up_ 1039",0.273136547551812,0.271403728470461,0.285571182655848,0.249594490363831,0.240509087862353,0.207336926472211,0.241339071620122,0.301080668036965,0.284009343444683,0.71194663272571,0.797258643514454,0.612844202316445,0.676142904665654,0.579572915557133,0.650505122585433,0.640664620015825,0.261553449608699,0.666990720197236
"DMR_up_ 104",0.32778351273222,0.344014610880219,0.38110643148304,0.347758695034298,0.2982819558254,0.308792532923613,0.395648656610051,0.302731043467813,0.353755776037092,0.64745475642752,0.741555095874398,0.575096023221056,0.611143976735171,0.543051028598686,0.592500579030717,0.591849256468953,0.339985912777083,0.614664388050929
"DMR_up_ 1040",0.292661423146468,0.321829682598322,0.346470407704068,0.365029488973074,0.263233519165729,0.286188813744693,0.29420443475808,0.31895286248524,0.294228063370872,0.586802751101671,0.717959383913185,0.544618758977101,0.59685366242914,0.477602202493418,0.531675529391436,0.551326992848149,0.309199855105172,0.572405611593443
"DMR_up_ 1041",0.238365996734545,0.222991176981619,0.22458424841972,0.192819614352385,0.223178660707552,0.203254075252797,0.247576691032577,0.229699172634773,0.2359198837487,0.529587348303859,0.595890296952961,0.436230601935108,0.487871968963342,0.418106370154727,0.502881964901834,0.461048593873962,0.224265502207185,0.490231020726542
"DMR_up_ 1042",0.31543812272262,0.319987249455854,0.328376740248592,0.297302130972588,0.283260167457941,0.352838841505101,0.300917813805043,0.349965460550512,0.345410308051043,0.635521885942889,0.763122571063671,0.551651026453048,0.576739153467096,0.465236595685086,0.576091536278227,0.551637448267861,0.321499648307699,0.588571459593982
"DMR_up_ 1043",0.328184582493436,0.352089348035232,0.340084716087544,0.314380185455218,0.373454811826426,0.318779392868426,0.402446647186924,0.387440051311823,0.346485335768026,0.7438014326281,0.783698897896322,0.609760492277412,0.670510968554692,0.544217140190896,0.621730070978631,0.603181730390428,0.35148278567034,0.653842961845212
"DMR_up_ 1044",0.178782153333907,0.154925798679029,0.153276011545419,0.126059259845106,0.16044519268455,0.135916306558617,0.185176939162348,0.162714134363453,0.152262464571211,0.48556067681283,0.589428463737107,0.343416905714919,0.436284499211751,0.290391949611859,0.384548130568892,0.369565212311947,0.156617584527071,0.414170833995615
"DMR_up_ 1045",0.140441902574865,0.134025037795532,0.155166785315348,0.146201311611698,0.164281078292398,0.129814230109481,0.152776663219653,0.16176424156271,0.146147152068422,0.482618858114012,0.624609541349304,0.365964910583218,0.424246344796582,0.336173082548575,0.412135250300598,0.348418346761916,0.147846489172234,0.427738047779172
"DMR_up_ 1046",0.102196168319791,0.10952777315976,0.129012181671741,0.0952313462551285,0.117752066348199,0.116090390159453,0.15355095496036,0.127028084898338,0.131915146377929,0.454195457758757,0.534056808806887,0.355500162955523,0.404286206307802,0.295740609546091,0.404262042543186,0.368390652963578,0.120256012461189,0.402347420125975
"DMR_up_ 1047",0.24384327603418,0.226329167531119,0.225988111982521,0.237834322496566,0.275050785353363,0.23615595679144,0.251927307981117,0.25428467955737,0.219796513460579,0.671918572539804,0.833360855582647,0.599993005864812,0.638501805067059,0.562455063646231,0.659146732079398,0.679229740695224,0.241245569020917,0.663515110782168
"DMR_up_ 1048",0.0985280051096331,0.103177568014065,0.0784049523981156,0.0986757550702833,0.092013619828601,0.103193628256544,0.107666686984002,0.117109437576979,0.0968349475195842,0.54268749486162,0.651483068482247,0.367220558006319,0.429807947901579,0.352325450762362,0.441111281928512,0.439350277394571,0.099511622306423,0.460569439905316
"DMR_up_ 1049",0.0987800100543782,0.10942051180127,0.128147607443969,0.117329376796893,0.114488427323325,0.106046519945524,0.138331486577934,0.123326077051835,0.121931129565661,0.467066179419643,0.571615846873563,0.34201145424,0.392118323362829,0.279128047436041,0.379757675353771,0.323315509723638,0.117533460728977,0.393573290915641
"DMR_up_ 105",0.101100232279233,0.102750410740405,0.112901695826764,0.101421338741377,0.125249131336296,0.0980422435445298,0.149850015523079,0.110331517593276,0.114773558933197,0.403649118060708,0.575106866224538,0.309349569717922,0.383370281069488,0.260906759917106,0.354499674514828,0.343794655922996,0.112935571613129,0.375810989346798
"DMR_up_ 1050",0.480134824455034,0.460188612597575,0.467522219950621,0.430758412469699,0.468284948739404,0.450963923956854,0.48086132998718,0.521517740824098,0.425026619902699,0.785893477669663,0.829411808329435,0.691708353397993,0.728835566035467,0.648239784711233,0.712330118475537,0.729220656985373,0.465028736987018,0.732234252229243
"DMR_up_ 1051",0.0660302963552295,0.119747138713675,0.0783762049103732,0.0761500836695949,0.0786442694797486,0.0852901601896074,0.0717062262370731,0.0892770915319631,0.0841016946986023,0.473300183251424,0.579739164826252,0.277017209011669,0.338942980952336,0.225188205172538,0.27176539060673,0.349188198338023,0.0832581295317631,0.359305904594139
"DMR_up_ 1052",0.108620921243539,0.122026294356027,0.104980643905349,0.121642464614285,0.125144855296846,0.119410836525893,0.141192714162155,0.113513712488729,0.117675463888539,0.432615521758739,0.546516938688669,0.328191907501934,0.3778156175348,0.300294327880834,0.406884737978275,0.346349158609331,0.119356434053485,0.391238315707512
