dmr,C3,C4,C7.1,C7.2,C9.1,C9.2,C10,C11.1,C11.2,P2,P4,P7,P8,P9,P10,P11,,,,,,,,,,,,,,,,,,
DMR_up_1039,-0.034260643,-0.012535186,0.074389571,-0.029437397,-0.05717808,-0.037114526,0.002321521,0.006616855,0.052937242,0.384026108,0.308193876,0.277989737,0.173891227,0.312045025,0.315568271,0.397180008,,,,,,,,,,,,,,,,,,
DMR_up_104,-0.024539956,-0.053621342,0.011995134,-0.031617749,0.016764718,0.000757002,0.131798405,-0.027260566,-0.048815599,0.355527693,0.260967983,0.244716422,0.128703891,0.253430424,0.280881661,0.510017544,,,,,,,,,,,,,,,,,,
DMR_up_1040,0.069243961,0.083113797,-0.009124004,-0.017485806,-0.013802009,-0.002902277,0.018403222,-0.021814134,-0.036388792,0.40595843,0.235085067,0.165415551,0.205937463,0.23154069,0.311590726,0.489823461,,,,,,,,,,,,,,,,,,
DMR_up_1041,0.006839367,0.000587092,-0.011180535,-0.002943224,-0.027709923,0.061118166,-0.002116166,-0.02030198,0.00254657,0.419847256,0.276906584,0.268115626,0.170173214,0.244638296,0.291983694,0.517921128,,,,,,,,,,,,,,,,,,
DMR_up_1042,0.023126348,-0.013839505,-0.028297118,-0.014086362,0.059324531,0.001198467,-0.02629965,0.027687505,-0.005687866,0.427164975,0.286824678,0.235044753,0.207170542,0.294760096,0.305183794,0.415548142,,,,,,,,,,,,,,,,,,
DMR_up_1043,-0.039870934,0.003163506,-0.013013587,0.002576758,-0.001198278,-0.035957274,0.015817011,-0.001717347,0.030329208,0.378926843,0.337298003,0.206595173,0.227542527,0.27388171,0.30039155,0.489765979,,,,,,,,,,,,,,,,,,
DMR_up_1044,-0.038251585,-0.029368415,-0.000639321,-0.006794768,0.005199381,-0.000698917,0.025383829,0.004676643,0.00224157,0.428723942,0.278694694,0.204498585,0.142470394,0.260656413,0.263756836,0.578950201,,,,,,,,,,,,,,,,,,
DMR_up_1045,-0.02095666,-0.014314061,0.02158307,-0.015996898,-0.016373695,0.010020581,0.011882682,-0.014829169,0.018027491,0.405807338,0.339463543,0.265967343,0.172589189,0.284068158,0.303424107,0.504709393,,,,,,,,,,,,,,,,,,
DMR_up_1046,-0.02167231,-0.01015706,-0.004773656,0.002798154,0.00289298,-0.010503581,0.011847336,-0.001822168,0.009717994,0.411274604,0.314737845,0.222132396,0.182249575,0.256552383,0.319225827,0.452792563,,,,,,,,,,,,,,,,,,
DMR_up_1047,-0.014252536,0.048598583,-0.033391778,-0.064425713,-0.033776546,0.128800323,0.00400792,-0.024834929,-0.024977862,0.425789052,0.36635723,0.308672436,0.227349617,0.333012375,0.345581701,0.408691196,,,,,,,,,,,,,,,,,,
