dmr,k546_2_bm_w_4d,k546_4_bm_w_4d,k602_1_bm_w_4d,k520_bm_w_23d,k528_bm_w_23d,k529_bm_w_23d,k534_bm_w_3m,k535_bm_w_3m,k536_bm_w_3m,k458_bm_w_1y,k462_bm_w_1y,k464_bm_w_1y,k546_1_bm_m_4d,k546_3_bm_m_4d,k602_2_bm_m_4d,k518_bm_m_23d,k519_bm_m_23d,k526_bm_m_23d,k541_bm_m_3m,k542_bm_m_3m,k543_bm_m_3m,k460_bm_m_1y,k461_bm_m_1y,k463_bm_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
bm_all_dmr_126,0.109917054407258,0.143798042497317,0.132514047767304,0.107454225929282,0.127333388157643,0.1375041514348,0.11585425374111,0.138888081584696,0.113733743791113,0.128569864003486,0.128541661923755,0.143914268041627,0.373776060905697,0.375062907257888,0.389359269143052,0.429388678933057,0.470389488587949,0.474631181047041,0.504973422056657,0.532772685339085,0.525348338584519,0.53978568318346,0.585740599183689,0.550610787521125,0.12874304822396,0.124097255173908,0.12282535970564,0.133675264656289,0.379399412435546,0.458136449522682,0.52103148199342,0.558712356629425
bm_all_dmr_127,0.159376453658231,0.147762742399001,0.137930847135271,0.167305489416025,0.156235846932562,0.145484128024657,0.186588767137777,0.198352367426171,0.181811186359114,0.175298938148004,0.179237802376378,0.181670768118124,0.284131698758469,0.280985733929125,0.281392396823785,0.413249815845052,0.428267388261099,0.43203868516262,0.460111094439562,0.475421498637814,0.484367193968345,0.507470780931455,0.598594982340162,0.527528155967405,0.148356681064168,0.156341821457748,0.188917440307687,0.178735836214169,0.28216994317046,0.424518629756257,0.47329992901524,0.544531306413007
bm_all_dmr_128,0.319057491043588,0.331082225029514,0.305866033422858,0.331127414194525,0.333446194107324,0.318607360129904,0.404104876334918,0.410003017538852,0.413052753977275,0.431738850663057,0.428463095373797,0.44549406887409,0.53564456216921,0.542148071157396,0.528763054909782,0.589116194767817,0.609041636491779,0.607413300755486,0.653503489153519,0.659396548433458,0.649799833017778,0.664690553425584,0.696294337873251,0.661721700121444,0.31866858316532,0.327726989477251,0.409053549283682,0.435232004970315,0.535518562745463,0.601857044005027,0.654233290201585,0.674235530473426
bm_all_dmr_129,0.0662969576385555,0.049503764383044,0.0422274131517182,0.034158392739874,0.0303795580237821,0.030313948106957,0.0498245885038999,0.0702522849042621,0.0945647484242539,0.0374927167407356,0.0394515384167386,0.0340639842872163,0.194962196961869,0.182949685525374,0.174985990672588,0.335909857139705,0.314825143054365,0.347244035229484,0.337378776002387,0.310773040255467,0.319719998481857,0.361106297435006,0.412694209765465,0.39005389871981,0.0526760450577726,0.0316172996235377,0.071547207277472,0.0370027464815635,0.184299291053277,0.332659678474518,0.32262393824657,0.387951468640094
bm_all_dmr_13,0.102748473324789,0.0970814737171026,0.0766204251235526,0.139390312001445,0.14213165823188,0.131276056356758,0.165788394898971,0.171494699129196,0.160523752284007,0.177329083015538,0.179989958319633,0.186232550119241,0.367934959215817,0.365235379372073,0.365270390376497,0.500915080023434,0.519321321899662,0.5147294593551,0.553682154789888,0.539327004660285,0.57453763477377,0.550246327345274,0.576555394632452,0.581486122650674,0.0921501240551481,0.137599342196694,0.165935615437391,0.181183863818137,0.366146909654796,0.511655287092732,0.555848931407981,0.5694292815428
bm_all_dmr_130,0.159559370505649,0.159498616791867,0.149560108748878,0.196306661097561,0.210610177638461,0.193852599912438,0.217972895832372,0.21863588137425,0.222307676910939,0.232862122943504,0.246143018397718,0.220710966334788,0.434231269386564,0.451014628086784,0.441147033711191,0.532338249719734,0.545298661189596,0.547221135688975,0.553878109184253,0.562228473549625,0.569413123861732,0.572909204989434,0.588571982284682,0.5841012988582,0.156206032015465,0.200256479549487,0.219638818039187,0.23323870255867,0.442130977061513,0.541619348866102,0.561839902198537,0.581860828710772
bm_all_dmr_131,0.185365658832793,0.155687862338707,0.180741402983742,0.204257499978586,0.188204076901944,0.203850490256056,0.218096845243901,0.239959254523989,0.211408622332204,0.223434938413396,0.236495998454644,0.215198506028121,0.455879576946715,0.463595470378599,0.448627773780675,0.501198051362834,0.50791966034099,0.516708312115959,0.553339287986887,0.556783386087582,0.559204422190553,0.528581600481079,0.567308588634801,0.550020281182078,0.173931641385081,0.198770689045529,0.223154907366698,0.225043147632054,0.456034273701996,0.508608674606594,0.556442365421674,0.548636823432653
bm_all_dmr_132,0.309936464371295,0.349349162264859,0.35567556912956,0.365555607063628,0.316371783708142,0.337629678988382,0.368808124465274,0.360786999073708,0.362700642405852,0.373459551414553,0.335602752470617,0.368355514240207,0.667891848781999,0.617337044096039,0.645174043650085,0.664847509677184,0.716831338922429,0.672127738719332,0.678639668414092,0.711775892692235,0.66620363732828,0.710020108288011,0.723384459930989,0.743459492436255,0.338320398588571,0.339852356586717,0.364098588648278,0.359139272708459,0.643467645509374,0.684602195772982,0.685539732811536,0.725621353551752
bm_all_dmr_133,0.312410215455246,0.35547634218208,0.3600123181714,0.402204934857281,0.354780548791453,0.363151105606413,0.383314607108994,0.378403862793851,0.372662565117956,0.383249619172211,0.380704544940699,0.401481596304506,0.661632534029208,0.617262723412048,0.662479298822671,0.685231255822692,0.727398188746433,0.661340524678068,0.715041118628989,0.71889287865455,0.687269242674661,0.744206486861352,0.758364824492787,0.758886596709721,0.342632958602909,0.373378863085049,0.3781270116736,0.388478586805805,0.647124852087976,0.691323323082398,0.707067746652733,0.753819302687953
bm_all_dmr_134,0.28905948973858,0.276611292958187,0.284931730596162,0.315775539778642,0.316802122200702,0.342424058391508,0.342977017793613,0.354836782232594,0.332197844282477,0.369705919949873,0.337559645592782,0.362316720257719,0.483814767011117,0.478612801031596,0.478101696494534,0.552676147168448,0.546885284549034,0.575894395288275,0.560914422732203,0.5566571260723,0.574603672830979,0.596351956264538,0.609251816471452,0.590145160995064,0.283534171097643,0.325000573456951,0.343337214769561,0.356527428600125,0.480176421512416,0.558485275668586,0.564058407211827,0.598582977910351
bm_all_dmr_135,0.0811353096143358,0.0923755998755522,0.0961840927035311,0.109167476267824,0.0982222456019577,0.112816370505413,0.116236412796365,0.113035606052059,0.118361564072788,0.1196709612788,0.117223044737972,0.101493331366464,0.336876135799053,0.322736674595406,0.323447043153752,0.462181489339965,0.457260360200325,0.461827729239967,0.459623374874033,0.466780979830919,0.457165752281687,0.485489568841365,0.514243668840822,0.486122495891364,0.089898334064473,0.106735364125065,0.115877860973737,0.112795779127745,0.327686617849404,0.460423192926752,0.461190035662213,0.495285244524517
bm_all_dmr_136,0.188546124519079,0.172763792363358,0.171773365963566,0.178972019927627,0.181175591966048,0.170844972317741,0.208233342765204,0.195588589578018,0.205223108131695,0.177271973127245,0.186486454929941,0.175327962373483,0.432042925498866,0.418278217857937,0.412449657850743,0.454363140926854,0.467793664859708,0.476482964725459,0.504823610610041,0.492644190084986,0.470054801054764,0.443233164152592,0.485669201987304,0.452781263220903,0.177694427615334,0.176997528070472,0.203015013491639,0.17969546347689,0.420923600402515,0.46621325683734,0.489174200583264,0.460561209786933
bm_all_dmr_137,0.0763697820389252,0.105528004704481,0.0963257005925363,0.14109809939767,0.15394199770621,0.143571720079379,0.166803007742521,0.166414002588953,0.17598197669457,0.198217095667831,0.207208677658647,0.210193011844718,0.451255487295882,0.429840425156163,0.407399018071418,0.565982001746127,0.606064187201077,0.612890208645259,0.642755846959541,0.640958870731003,0.647743564975836,0.679645912215112,0.743073929219672,0.69043274153365,0.0927411624453142,0.146203939061086,0.169732995675348,0.205206261723732,0.429498310174488,0.594978799197488,0.64381942755546,0.704384194322811
