counts.all	counts.up	per.all	per.up	pval.up	padj.up	per.change.up	per.fc.up	description
GO:0014075	39	9	0.00219285915096992	0.00628930817610063	0.00816973341290894	0.0402536973486046	0.00409644902513071	2.86808579261409	response to amine
GO:0007622	32	8	0.00179926904694968	0.00559049615653389	0.00834666039071935	0.0410807943009021	0.00379122710958422	3.1070929419986	rhythmic behavior
GO:2000145	879	94	0.0494236716333989	0.0656883298392732	0.00844550371589126	0.041477213807297	0.0162646582058743	1.32908640067289	regulation of cell motility
GO:0060457	13	5	0.000730953050323306	0.00349406009783368	0.00858547454741071	0.0417127075277736	0.00276310704751038	4.78014298769016	negative regulation of digestive system process
GO:0035987	19	6	0.00106831599662637	0.00419287211740042	0.00873398440179127	0.042163100418871	0.00312455612077405	3.92474897936666	endodermal cell differentiation
GO:0001892	78	14	0.00438571830193984	0.00978336827393431	0.00874578551494246	0.0421751550417385	0.00539764997199447	2.23073339425541	embryonic placenta development
GO:0099106	136	22	0.00797560403471734	0.0154929577464789	0.00625835807369333	0.0429949199662732	0.00751735371176154	1.94254349627175	ion channel regulator activity
GO:0060004	26	7	0.00146190610064661	0.00489168413696716	0.0096100117200355	0.0457105804060031	0.00342977803632054	3.34610009138311	reflex
GO:0140353	48	10	0.00269890357042452	0.00698812019566737	0.00991772567133079	0.0469770642300339	0.00428921662524285	2.58924411833217	lipid export from cell
GO:0060740	20	6	0.00112454315434355	0.00419287211740042	0.0106533875640656	0.0498367449204433	0.00306832896305687	3.72851153039832	prostate gland epithelium morphogenesis
GO:0006687	41	9	0.00230531346640427	0.00628930817610063	0.010683430320235	0.0499257625171393	0.00398399470969636	2.72817916858414	glycosphingolipid metabolic process
